institution_id,myjkkn_institution_id,course_code,course_name,coe_course_id,action
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHED1,EDC-I-CHEMISTRY FOR FOOD PRESERVATION,cf70ca28-3d69-4178-87fe-89c759d935b1,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHED2,EDC-II-CHEMISTRY IN CONSUMER PRODUCTS,01085d2f-7c36-4574-bef5-adcb7599fa7a,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHIN01,INTERNSHIP/INDUSTRIAL ACTIVITY,5ee3fd43-22eb-43fa-af9f-6d6e30f9c823,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHPR1,CORE PROJECT WITH VIVA VOCE,f40a58d6-b71f-4977-bcf1-5fc960c23fa4,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHS01,SEC-I-PREPARATION OF CONSUMER PRODUCTS,523809d4-626f-41ba-a85f-95359b6ef132,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHS02,SEC-II-PROFESSIONAL COMPETENCY SKILL ENHANCEMNET COURSE,57359ec9-000f-43c8-a1fb-47c0d2f06580,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMC01,CORE-I-BUSINESS FINANCE,55449dfa-f513-45ed-888b-bf218e746d91,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMC02,CORE-II-DIGITAL MARKETING,33469fc2-abb9-42ba-bb8d-29dbaea1c08c,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMC03,CORE-III-BANKING AND INSURANCE,7b7e7a79-33d7-4248-92e6-4138614471fd,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMC04,CORE-IV-STRATEGIC COST MANAGEMENT,9776290c-a098-45fd-9247-0d364e99ad11,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMC05,CORE-V-CORPORATE ACCOUNTING,48935cfc-bdb9-4388-8146-ae9c37ad8940,create
